seed,agent_seed,agent,score,science,culture,faith,turns,population,decisions,failed,goal_achieved,tech_nodes,spec
900029,900029,heuristic,162.0,162.0,0.0,0.0,40,2,189,0,False,4,heuristic
900029,900029,model,152.0,94.0,0.0,58.0,40,4,95,1,False,5,model:models/policy_round2.keras:0.0
900028,900028,random,1.0,1.0,0.0,0.0,40,1,340,3,False,0,random
900028,900028,scripted,0.0,0.0,0.0,0.0,40,5,1030,0,False,0,scripted
900030,900030,heuristic,98.0,98.0,0.0,0.0,40,2,175,0,False,3,heuristic
900030,900030,model,169.0,169.0,0.0,0.0,40,3,90,0,False,4,model:models/policy_round2.keras:0.0
900029,900029,random,6.0,6.0,0.0,0.0,40,2,301,11,False,1,random
900029,900029,scripted,6.0,6.0,0.0,0.0,40,8,1014,0,False,1,scripted
900031,900031,heuristic,100.0,100.0,0.0,0.0,40,1,170,0,False,3,heuristic
900031,900031,model,179.0,179.0,0.0,0.0,40,3,108,0,False,4,model:models/policy_round2.keras:0.0
900030,900030,random,0.0,0.0,0.0,0.0,40,2,272,3,False,0,random
900030,900030,scripted,4.0,4.0,0.0,0.0,40,9,1035,0,False,1,scripted
900031,900031,random,6.0,6.0,0.0,0.0,40,1,310,0,False,1,random
900031,900031,scripted,25.0,25.0,0.0,0.0,40,6,1015,0,False,2,scripted
900032,900032,heuristic,164.0,164.0,0.0,0.0,40,4,175,0,False,4,heuristic
900032,900032,model,142.0,142.0,0.0,0.0,40,2,85,0,False,3,model:models/policy_round2.keras:0.0
900033,900033,heuristic,112.0,112.0,0.0,0.0,40,3,184,0,False,3,heuristic
900033,900033,model,143.0,143.0,0.0,0.0,40,4,84,0,False,3,model:models/policy_round2.keras:0.0
900032,900032,random,2.0,2.0,0.0,0.0,40,1,310,5,False,1,random
900032,900032,scripted,32.0,32.0,0.0,0.0,40,8,1038,0,False,2,scripted
900034,900034,heuristic,122.0,122.0,0.0,0.0,40,6,180,0,False,3,heuristic
900034,900034,model,141.0,141.0,0.0,0.0,40,3,82,0,False,3,model:models/policy_round2.keras:0.0
900033,900033,random,1.0,1.0,0.0,0.0,40,1,282,11,False,0,random
900033,900033,scripted,25.0,25.0,0.0,0.0,40,1,1033,0,False,2,scripted
900035,900035,heuristic,50.0,50.0,0.0,0.0,40,7,184,0,False,2,heuristic
900035,900035,model,158.0,158.0,0.0,0.0,40,4,95,0,False,4,model:models/policy_round2.keras:0.0
900034,900034,random,1.0,1.0,0.0,0.0,40,1,351,24,False,0,random
900034,900034,scripted,0.0,0.0,0.0,0.0,40,2,1030,0,False,0,scripted
900035,900035,random,6.0,4.0,0.0,2.0,40,1,333,0,False,1,random
900035,900035,scripted,7.0,7.0,0.0,0.0,40,2,1033,0,False,1,scripted
900036,900036,heuristic,151.0,151.0,0.0,0.0,40,6,183,0,False,4,heuristic
900036,900036,model,170.0,170.0,0.0,0.0,40,3,91,0,False,4,model:models/policy_round2.keras:0.0
900037,900037,heuristic,76.0,76.0,0.0,0.0,40,6,180,0,False,3,heuristic
900037,900037,model,167.0,167.0,0.0,0.0,40,3,103,0,False,4,model:models/policy_round2.keras:0.0
900036,900036,random,1.0,1.0,0.0,0.0,40,1,280,0,False,0,random
900036,900036,scripted,33.0,33.0,0.0,0.0,40,8,1039,0,False,2,scripted
900037,900037,random,1.0,1.0,0.0,0.0,40,1,296,21,False,0,random
900037,900037,scripted,28.0,28.0,0.0,0.0,40,7,1034,0,False,2,scripted
900038,900038,heuristic,193.0,193.0,0.0,0.0,40,2,174,0,False,4,heuristic
900038,900038,model,225.0,190.0,35.0,0.0,40,5,88,0,False,6,model:models/policy_round2.keras:0.0
900039,900039,heuristic,54.0,54.0,0.0,0.0,40,3,175,0,False,2,heuristic
900039,900039,model,126.0,126.0,0.0,0.0,40,2,130,4,False,3,model:models/policy_round2.keras:0.0
900038,900038,random,0.0,0.0,0.0,0.0,40,1,290,12,False,0,random
900038,900038,scripted,41.0,41.0,0.0,0.0,40,15,1022,0,False,2,scripted
900039,900039,random,1.0,1.0,0.0,0.0,40,2,280,12,False,0,random
900039,900039,scripted,1.0,1.0,0.0,0.0,40,7,1015,0,False,0,scripted
