seed,agent,score,science,culture,faith,turns,population,decisions,failed,goal_achieved,tech_nodes,spec
900025,model,122.0,122.0,0.0,0.0,40,3,82,0,False,3,model:models/policy_unpaired1.keras:0.0
900026,heuristic,103.0,103.0,0.0,0.0,40,2,169,0,False,3,heuristic
900026,model,122.0,122.0,0.0,0.0,40,3,81,0,False,3,model:models/policy_unpaired1.keras:0.0
900025,random,3.0,3.0,0.0,0.0,40,2,330,0,False,1,random
900025,scripted,32.0,32.0,0.0,0.0,40,8,1016,0,False,2,scripted
900024,random,0.0,0.0,0.0,0.0,40,1,260,27,False,0,random
900024,scripted,47.0,47.0,0.0,0.0,40,12,1019,0,False,2,scripted
900027,heuristic,194.0,194.0,0.0,0.0,40,3,180,0,False,4,heuristic
900027,model,129.0,129.0,0.0,0.0,40,2,75,0,False,3,model:models/policy_unpaired1.keras:0.0
900026,random,0.0,0.0,0.0,0.0,40,1,276,0,False,0,random
900026,scripted,0.0,0.0,0.0,0.0,40,9,1032,0,False,0,scripted
900028,heuristic,51.0,51.0,0.0,0.0,40,6,181,0,False,2,heuristic
900028,model,116.0,116.0,0.0,0.0,40,3,85,0,False,3,model:models/policy_unpaired1.keras:0.0
900027,random,3.0,3.0,0.0,0.0,40,1,323,8,False,1,random
900027,scripted,26.0,26.0,0.0,0.0,40,1,1034,0,False,2,scripted
900029,heuristic,162.0,162.0,0.0,0.0,40,2,189,0,False,4,heuristic
900029,model,113.0,113.0,0.0,0.0,40,3,73,0,False,3,model:models/policy_unpaired1.keras:0.0
900028,random,1.0,1.0,0.0,0.0,40,1,340,3,False,0,random
900028,scripted,0.0,0.0,0.0,0.0,40,5,1030,0,False,0,scripted
900030,heuristic,98.0,98.0,0.0,0.0,40,2,175,0,False,3,heuristic
900030,model,143.0,143.0,0.0,0.0,40,2,79,1,False,3,model:models/policy_unpaired1.keras:0.0
900029,random,6.0,6.0,0.0,0.0,40,2,301,11,False,1,random
900029,scripted,6.0,6.0,0.0,0.0,40,8,1014,0,False,1,scripted
900031,heuristic,100.0,100.0,0.0,0.0,40,1,170,0,False,3,heuristic
900031,model,138.0,138.0,0.0,0.0,40,2,95,1,False,3,model:models/policy_unpaired1.keras:0.0
900030,random,0.0,0.0,0.0,0.0,40,2,272,3,False,0,random
900030,scripted,4.0,4.0,0.0,0.0,40,9,1035,0,False,1,scripted
900032,heuristic,164.0,164.0,0.0,0.0,40,4,175,0,False,4,heuristic
900032,model,105.0,105.0,0.0,0.0,40,2,102,4,False,3,model:models/policy_unpaired1.keras:0.0
900031,random,6.0,6.0,0.0,0.0,40,1,310,0,False,1,random
900031,scripted,25.0,25.0,0.0,0.0,40,6,1015,0,False,2,scripted
900033,heuristic,112.0,112.0,0.0,0.0,40,3,184,0,False,3,heuristic
900033,model,127.0,127.0,0.0,0.0,40,3,83,0,False,3,model:models/policy_unpaired1.keras:0.0
900032,random,2.0,2.0,0.0,0.0,40,1,310,5,False,1,random
900032,scripted,32.0,32.0,0.0,0.0,40,8,1038,0,False,2,scripted
900034,heuristic,122.0,122.0,0.0,0.0,40,6,180,0,False,3,heuristic
900034,model,109.0,109.0,0.0,0.0,40,2,77,0,False,3,model:models/policy_unpaired1.keras:0.0
900033,random,1.0,1.0,0.0,0.0,40,1,282,11,False,0,random
900033,scripted,25.0,25.0,0.0,0.0,40,1,1033,0,False,2,scripted
900035,heuristic,50.0,50.0,0.0,0.0,40,7,184,0,False,2,heuristic
900035,model,136.0,136.0,0.0,0.0,40,4,90,0,False,3,model:models/policy_unpaired1.keras:0.0
900034,random,1.0,1.0,0.0,0.0,40,1,351,24,False,0,random
900034,scripted,0.0,0.0,0.0,0.0,40,2,1030,0,False,0,scripted
900036,heuristic,151.0,151.0,0.0,0.0,40,6,183,0,False,4,heuristic
900036,model,128.0,128.0,0.0,0.0,40,3,80,0,False,3,model:models/policy_unpaired1.keras:0.0
900035,random,6.0,4.0,0.0,2.0,40,1,333,0,False,1,random
900035,scripted,7.0,7.0,0.0,0.0,40,2,1033,0,False,1,scripted
900037,heuristic,76.0,76.0,0.0,0.0,40,6,180,0,False,3,heuristic
900037,model,167.0,167.0,0.0,0.0,40,3,88,0,False,4,model:models/policy_unpaired1.keras:0.0
900036,random,1.0,1.0,0.0,0.0,40,1,280,0,False,0,random
900036,scripted,33.0,33.0,0.0,0.0,40,8,1039,0,False,2,scripted
900038,heuristic,193.0,193.0,0.0,0.0,40,2,174,0,False,4,heuristic
900038,model,162.0,162.0,0.0,0.0,40,5,76,0,False,4,model:models/policy_unpaired1.keras:0.0
900037,random,1.0,1.0,0.0,0.0,40,1,296,21,False,0,random
900037,scripted,28.0,28.0,0.0,0.0,40,7,1034,0,False,2,scripted
900039,heuristic,54.0,54.0,0.0,0.0,40,3,175,0,False,2,heuristic
900039,model,74.0,74.0,0.0,0.0,40,2,120,5,False,3,model:models/policy_unpaired1.keras:0.0
900038,random,0.0,0.0,0.0,0.0,40,1,290,12,False,0,random
900038,scripted,41.0,41.0,0.0,0.0,40,15,1022,0,False,2,scripted
900039,random,1.0,1.0,0.0,0.0,40,2,280,12,False,0,random
900039,scripted,1.0,1.0,0.0,0.0,40,7,1015,0,False,0,scripted
